from_x,to_x,from_effective_rank,to_effective_rank,from_lambda_rank_g,to_lambda_rank_g,lambda_ratio,from_sigma_rank_g,to_sigma_rank_g,sigma_ratio
0.08106,0.30584,2.0,7.0,0.0002488661783792,0.0199075436431167,79.99296558804936,0.01577549296786797,0.141094094997334,8.943878665770951
0.30584,0.41554,7.0,9.0,0.0199075436431167,0.054751240677874805,2.7502760591362954,0.141094094997334,0.23398983028729012,1.6583956280502838
0.41554,0.48241,9.0,10.0,0.054751240677874805,0.08960804981650582,1.6366396214417984,0.23398983028729012,0.29934603691464806,1.2793121673156236
0.53289,0.57427,10.0,11.0,0.1244758508358726,0.15935862871678658,1.2802373122711859,0.3528113530427736,0.3991974808497501,1.1314757232354504
0.60973,0.64099,11.0,12.0,0.19424933475303427,0.2291549279798312,1.1796947890255345,0.440737262723535,0.4787012930626271,1.0861375552965353
0.66908,0.69469,12.0,13.0,0.2640662289395585,0.29899331222533954,1.1322663766057546,0.5138737480544794,0.5468028092697949,1.064080061182313
0.74023,0.76077,13.0,14.0,0.3688867206876668,0.4038639483108614,1.0948183430349328,0.6073604536744772,0.6355029097579817,1.0463356741672019
0.79838,0.81574,14.0,15.0,0.47382938915714423,0.5088222127045492,1.0738511041065875,0.6883526633616988,0.7133177501678682,1.0362678727561652
0.86329,0.87786,15.0,16.0,0.6139107931459794,0.6489402275823042,1.0570594862110452,0.7835245963886388,0.8055682637631054,1.0281339826165874
