K,lambda_top_mean,lambda_top_sem,oracle_lambda_top_mean,oracle_lambda_top_sem,lambda_at_bottleneck_rank_mean,lambda_at_bottleneck_rank_sem,oracle_lambda_at_bottleneck_rank_mean,oracle_lambda_at_bottleneck_rank_sem,relative_conditioning_mean,relative_conditioning_sem,oracle_relative_conditioning_mean,oracle_relative_conditioning_sem,theorem_subspace_error_mean,theorem_subspace_error_sem,per_target_excess_mse_mean,per_target_excess_mse_sem,test_mse_mean,test_mse_sem,oracle_test_mse_mean,oracle_test_mse_sem,oracle_effdim_mean,oracle_effdim_sem,empirical_effdim_mean,empirical_effdim_sem,per_target_risk_stability_ratio_mean,per_target_risk_stability_ratio_sem,calibrated_excess_risk_rhs_mean,calibrated_excess_risk_rhs_sem,calibrated_total_risk_rhs_mean,calibrated_total_risk_rhs_sem,risk_stability_bound_mean,risk_stability_bound_sem,delta,calibrated_rho,empirical_l,relative_perturbation_coverage
64,0.9530830972940544,0.0036385734816387297,0.9411764705882352,1.1991779233329539e-16,0.01859557601640471,0.00015515760366951306,0.01882352941176467,1.5438064341682233e-17,0.01951493207759264,0.0001962201065889976,0.01999999999999997,1.5438064341682233e-17,0.17049658815421395,0.0021745940709595357,0.00077555192320485,6.218226298700862e-06,0.07822872961197629,3.22254032565871e-05,0.07745317768877139,3.0116203318448074e-05,16.29718659361442,1.8346134549116833e-15,16.163235572549176,0.05827061734973733,0.00455664284978999,7.678277013675923e-05,0.008597795719562503,3.1934411761923007e-18,0.0860509734083339,3.011620331844651e-05,0.0012045751313128393,1.536372057022575e-05,0.1,0.08605060423202175,0.0070650981603415,0.9
80,0.9539734448350844,0.002653993567098225,0.9411764705882352,1.1991779233329539e-16,0.05037441245291737,0.00034804705156575686,0.050837654173922296,1.8300213608243376e-17,0.05281571322523491,0.0004886538487047315,0.05401500755979246,2.2365303597326235e-17,0.11344475641653289,0.0010758075078001921,0.0006691315272155101,4.104397893777059e-06,0.0762680454882416,4.732320004683943e-05,0.07559891396102605,4.6310250315866764e-05,17.89718659361442,2.183626780382252e-15,17.726279204564307,0.05136990765025404,0.005903732039764889,7.210745847474606e-05,0.00523172490075253,9.889445383256552e-19,0.08083063886177859,4.631025031586531e-05,0.000801498339858836,7.6006856442407115e-06,0.1,0.08605060423202175,0.0070650981603415,0.9
96,0.9540923174149123,0.0035838411937359413,0.9411764705882352,1.1991779233329539e-16,0.11062122947689586,0.0003638920279492047,0.11543025582137818,2.8740388896569947e-17,0.11596279051344752,0.0006642010281390403,0.1226446468102143,3.313276427195178e-17,0.09208084613079444,0.0006769069158868296,0.0006102096734994799,4.834795323280087e-06,0.07503930495969582,3.4556869348845765e-05,0.07442909528619632,3.2757334138214966e-05,19.497186593614423,2.8520225183096897e-15,19.311258562741852,0.06594681548768223,0.0066298000775439694,6.91175638017445e-05,0.00347198485121888,4.288351206022842e-19,0.07790108013741519,3.2757334138214966e-05,0.0006505602166013646,4.782413806154478e-06,0.1,0.08605060423202175,0.0070650981603415,0.9
128,0.955584020918048,0.0038300427643230533,0.9411764705882352,1.1991779233329539e-16,0.18187507581089468,0.0007153465188276429,0.18871157965288343,3.3486104761011805e-17,0.19036461071906804,0.001225339154567369,0.2005060533811887,4.329632562397079e-17,0.0808365815666442,0.0006237936725756985,0.00053727324302358,2.6724454683187324e-06,0.07338856373785899,4.554708140136456e-05,0.07285129049483532,4.61445896015952e-05,22.697186593614425,3.611440197435652e-15,22.456834084617135,0.08863557358830305,0.006650300478110061,6.514016330008932e-05,0.002715428523963373,2.7044753782911615e-19,0.07556671901879872,4.614458960159297e-05,0.0005711183837147936,4.4071635285472356e-06,0.1,0.08605060423202175,0.0070650981603415,0.9
160,0.9547092050793399,0.0038798721640362073,0.9411764705882352,2.8665835232995054e-16,0.23906224124136594,0.0007400709293223595,0.24957293650586757,7.521937378214214e-17,0.25044379044628273,0.0013503965475508545,0.26517124503748435,7.93721036656248e-17,0.0734235585228307,0.0006213170236705806,0.00048976358389852,3.421058281751146e-06,0.07245638402370248,4.552277648474492e-05,0.07196662043980391,4.496025083890929e-05,25.897186593614425,7.78360568894479e-15,25.650251175790874,0.10392017496632318,0.00667277698301328,5.0201172555029885e-05,0.0023612333371528732,3.905803945925192e-19,0.07432785377695679,4.496025083890954e-05,0.0005187446482453776,4.389665760923876e-06,0.1,0.08605060423202175,0.0070650981603415,0.9
192,0.9541195002603324,0.003488537897205915,0.9411764705882348,2.972137055765787e-16,0.2996357198001053,0.0007523686159519374,0.31737799694059243,5.612455273900493e-17,0.3141019225204468,0.0018249593118188322,0.3372141217493797,1.374765162524861e-16,0.07024930337818332,0.00047498994563999875,0.00045883547548265,3.3379580860754108e-06,0.07184060868050608,2.831559053501651e-05,0.0713817732050234,2.663276794962409e-05,29.09718659361443,7.395563270997247e-15,28.842966341669047,0.1079326325450626,0.006534117414574809,6.350458979936882e-05,0.002093867727678718,4.1395767205501167e-19,0.07347564093270212,2.663276794962409e-05,0.0004963182240624749,3.3558505911218643e-06,0.1,0.08605060423202175,0.0070650981603415,0.9
256,0.9579882559125064,0.0040937344841917595,0.9411764705882352,2.482534153247273e-16,0.4056657720591164,0.0007867271573205453,0.43403062440670864,9.791246743253677e-17,0.4235366516581022,0.0022326129976270744,0.461157538432128,1.5938994914557213e-16,0.06472621836166204,0.00016893924990485492,0.00041238933694275,2.99080965596156e-06,0.07107171457524886,2.358659707207195e-05,0.07065932523830606,2.1515542261748467e-05,35.497186593614416,9.851264973825579e-15,35.04865277092519,0.150939527626888,0.00637175690123605,5.022855250383657e-05,0.0017905129395598865,3.2324663453740534e-19,0.07244983817786596,2.1515542261748735e-05,0.00045729708627284066,1.1935723837122634e-06,0.1,0.08605060423202175,0.0070650981603415,0.9
320,0.9616457334398923,0.0030425094755677897,0.9411764705882344,1.8242825833464354e-16,0.5068935355857923,0.0013471780577983725,0.5443773278600952,1.2604277892459475e-16,0.5271491377670917,0.00191776793110491,0.5784009108513517,1.7554167342883506e-16,0.061768432344903736,0.00037128638274220275,0.00040333444052659,1.911209521039133e-06,0.0706242904364014,1.5624191307533584e-05,0.07022095599587479,1.5684673967074096e-05,41.89718659361445,8.670044933354919e-15,41.21348667961891,0.13346667539349893,0.0065323167051311,5.548359333577823e-05,0.0015987760578914587,2.56569062137367e-19,0.07181973205376625,1.5684673967073256e-05,0.0004364000377271578,2.623174739671787e-06,0.1,0.08605060423202175,0.0070650981603415,0.9
384,0.963753563091872,0.003681786579314521,0.941176470588235,1.5213611697165703e-16,0.6014050655144791,0.0018187457968749387,0.6536046013786718,1.1585159381820608e-16,0.6240905540666977,0.00268242201421696,0.6944548889648392,1.3647667377389076e-16,0.059354118315668905,0.00032864064096872406,0.00037723780056288003,2.560206638511507e-06,0.07028541733827964,2.3283308611213333e-05,0.0699081795377167,2.194814092779105e-05,48.297186593614434,6.130647565567332e-15,47.42515335158489,0.18013684159242593,0.00635592942218811,3.044142997948073e-05,0.0014590833452289465,1.5161611089441306e-19,0.07136726288294565,2.1948140927790597e-05,0.0004193426721207241,2.321878387921584e-06,0.1,0.08605060423202175,0.0070650981603415,0.9
512,1.0364944759740653,0.0019639086852797213,0.9480801328151314,2.7817186292139303e-16,0.776118722264289,0.0015841683961698699,0.8550551241296395,1.6796646618629735e-16,0.7488141971372061,0.0020147867710172975,0.9018806475679719,2.8570122661173844e-16,0.05638771765056092,0.00036405068547548105,0.00036006395797084,1.552488766734392e-06,0.0698516958537209,1.2355775738628786e-05,0.06949163189575003,1.2190467329945477e-05,60.65229346205651,1.3992060121137162e-14,55.79904358635969,0.10588933693264616,0.0063880499312965,5.179754281198972e-05,0.0012803466988533202,2.251152317565008e-19,0.07077197859460335,1.2190467329945477e-05,0.0003983847602388339,2.5720538282238832e-06,0.1,0.08605060423202175,0.0070650981603415,0.9
